URL,Internet Archive
https://www.ncbi.nlm.nih.gov/pmc/?term=COVID-19,https://web.archive.org/web/20200914083925/https://www.ncbi.nlm.nih.gov/pmc/?term=COVID-19
https://www.semanticscholar.org/search?q=COVID-19&sort=relevance,https://web.archive.org/web/20200914083927/https://www.semanticscholar.org/search?q=COVID-19&sort=relevance
https://clinicaltrials.gov/ct2/results?cond=COVID-19&term=&cntry=&state=&city=&dist=,https://web.archive.org/web/20200914083928/https://clinicaltrials.gov/ct2/results?cond=COVID-19&term=&cntry=&state=&city=&dist=
https://arxiv.org/search/?query=COVID-19&searchtype=all&source=header,https://web.archive.org/web/20200914083929/https://arxiv.org/search/?query=COVID-19&searchtype=all&source=header
https://www2a.cdc.gov/nioshtic-2/Buildqyr.asp?S1=COVID-19&Submit=Search,https://web.archive.org/web/20200914083932/https://www2a.cdc.gov/nioshtic-2/Buildqyr.asp?S1=COVID-19&Submit=Search
https://www.who.int/classifications/icd/en/,https://web.archive.org/web/20200914083935/https://www.who.int/classifications/icd/en/
https://www.nlm.nih.gov/research/umls/index.html,https://web.archive.org/web/20200914083936/https://www.nlm.nih.gov/research/umls/index.html
https://www.jstor.org/,https://web.archive.org/web/20200914083937/https://www.jstor.org/
https://academic.microsoft.com/,https://web.archive.org/web/20200914083938/https://academic.microsoft.com/
https://kbpedia.org/,https://web.archive.org/web/20200914083939/https://kbpedia.org/
http://viaf.org/,https://web.archive.org/web/20200914083940/http://viaf.org/
https://www.worldcat.org/,https://web.archive.org/web/20200914083941/https://www.worldcat.org/
https://www.imdb.com/,https://web.archive.org/web/20200914083942/https://www.imdb.com/
https://isni.org/,https://web.archive.org/web/20200914083949/https://isni.org/
https://dmoz-odp.org/,https://web.archive.org/web/20200914083952/https://dmoz-odp.org/
https://www.loc.gov/marc/,https://web.archive.org/web/20200914083953/https://www.loc.gov/marc/
https://massbank.eu/MassBank/,https://web.archive.org/web/20200914083955/https://massbank.eu/MassBank/
https://www.irmng.org/,https://web.archive.org/web/20200914083957/https://www.irmng.org/
https://www.rcsb.org/,https://web.archive.org/web/20200914083958/https://www.rcsb.org/
https://www.genome.jp/kegg/,https://web.archive.org/web/20200914083959/https://www.genome.jp/kegg/
https://www.ncbi.nlm.nih.gov/,https://web.archive.org/web/20200914084001/https://www.ncbi.nlm.nih.gov/
https://splash.fiehnlab.ucdavis.edu/,https://web.archive.org/web/20200914084002/https://splash.fiehnlab.ucdavis.edu/
https://www.ncbi.nlm.nih.gov/refseq/,https://web.archive.org/web/20200914084002/https://www.ncbi.nlm.nih.gov/refseq/
https://www.whocc.no/atc_ddd_index/,https://web.archive.org/web/20200914084004/https://www.whocc.no/atc_ddd_index/
https://www.cas.org/support/documentation/chemical-substances,https://web.archive.org/web/20200914084005/https://www.cas.org/support/documentation/chemical-substances
https://fdasis.nlm.nih.gov/srs/,https://web.archive.org/web/20200914084215/https://fdasis.nlm.nih.gov/srs/
https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19/Queries,https://web.archive.org/web/20200914084217/https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19/Queries
https://egonw.github.io/SARS-CoV-2-Queries/,https://web.archive.org/web/20200914084219/https://egonw.github.io/SARS-CoV-2-Queries/
https://sites.google.com/view/covid19-dashboard,https://web.archive.org/web/20200914084219/https://sites.google.com/view/covid19-dashboard
https://scholia.toolforge.org/,https://web.archive.org/web/20200914084220/https://scholia.toolforge.org/
https://public.paws.wmcloud.org/User:99of9/Covid-19.ipynb,https://web.archive.org/web/20200914084221/https://public.paws.wmcloud.org/User:99of9/Covid-19.ipynb
https://w.wiki/bzi,https://web.archive.org/web/20200914084224/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_proteins.png
https://w.wiki/byX,https://web.archive.org/web/20200914084227/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_symptoms.png
https://scholia.toolforge.org/disease/Q84263196,https://web.archive.org/web/20200914084230/https://scholia.toolforge.org/disease/Q84263196
https://w.wiki/byW,https://web.archive.org/web/20200914084231/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_deaths.png
https://ts404.shinyapps.io/topicnetwork,https://web.archive.org/web/20200914084406/https://ts404.shinyapps.io/topicnetwork/
https://w.wiki/byV,https://web.archive.org/web/20200914084408/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_publications.png
https://csisc.github.io/WikidataCOVID19SPARQL/Fig8B.html,https://web.archive.org/web/20200914084410/https://csisc.github.io/WikidataCOVID19SPARQL/Fig8B.html
https://w.wiki/byY,https://web.archive.org/web/20200914084412/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_bankruptcies.png
https://www.wikidata.org/wiki/Special:Statistics,https://web.archive.org/web/20200914084414/https://www.wikidata.org/wiki/Special:Statistics
https://covid-nma.com/,https://web.archive.org/web/20200914084415/https://covid-nma.com/
https://devpost.com/software/covid-19-kg,https://web.archive.org/web/20200914084416/https://devpost.com/software/covid-19-kg
https://en.wikipedia.org/wiki/COVID-19_pandemic_on_cruise_ships,https://web.archive.org/web/20200914084417/https://en.wikipedia.org/wiki/COVID-19_pandemic_on_cruise_ships
https://en.wikipedia.org/wiki/COVID-19_pandemic_on_naval_ships,https://web.archive.org/web/20200914084419/https://en.wikipedia.org/wiki/COVID-19_pandemic_on_naval_ships
https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19/Data_models,https://web.archive.org/web/20200914084421/https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19/Data_models
https://github.com/csisc/WikidataCOVID19SPARQL,https://web.archive.org/web/20200914084631/https://github.com/csisc/WikidataCOVID19SPARQL
https://w.wiki/bnW,https://web.archive.org/web/20200914084423/https://commons.wikimedia.org/wiki/Category:COVID-19_Study_of_Wikidata
https://tinyurl.com/y6eo88kx,https://web.archive.org/web/20200914084528/https://github.com/csisc/WikidataCOVID19SPARQL/blob/master/Query/COVID-19.xlsx
